category,abs_weight_error,abs_volume_error,count
온라인 중고샵 > 중고음반 > 가요 > 포크음악 > ,0.6666666666666666,0.9647855085324712,1
중고샵 > 중고 국내도서 > 예술/대중문화 > TV/라디오 > ,0.4968553459119497,0.964674646428536,1
출산/육아>스킨/바디용품>유아바스/샴푸,0.6153846153846154,0.9646464646464646,1
뷰티/미용 > 스킨케어 > 클렌징/스크럽 > ,0.6842105263157894,0.9644444444444444,1
과자/간식>초콜릿/사탕/젤리/껌>캔디류>사탕/캔디,0.7919886363636364,0.9644091574875191,2
LOGIN > CART > WISH > ,0.5283018867924528,0.964122900591733,1
화장품/미용>뷰티소품>타투,0.8652258975207827,0.9636938591970113,4
훈련 / 고글 / 랜턴 / 캠핑 > 훈련용품 > 훈련용품 > ,0.3333333333333332,0.9636773092150668,1
가공식품>봉지라면>비빔라면,0.8090277777777778,0.963634824019822,1
주방용품>식기/홈세트>식기 기타,0.8868778280542986,0.9636208593537876,1
생활/건강>주방용품>잔/컵>머그,0.4982893924149588,0.9635079648658943,3
뒤로가기 > 사이드바 > ,0.6527777777777778,0.9633930941072032,1
Home > ALL > ACCESSORY > 스카프 > ,0.5238095238095237,0.9633431085043987,1
홈 > 대림목공예 몰 > ,0.7346600331674957,0.9632958801498128,1
undefined > undefined > 0 > ,0.5798319327731092,0.9631521833252576,1
Home ||신발 ||남성 ||샌들&슬리퍼 > Home > 신발 > 남성 > 샌들&슬리퍼 > BASIC SLIDE > ,0.7916666666666667,0.9631093544137024,1
해외직구 > 직구 식품 > 가공식품 > 스낵/과자/초콜릿/사탕,0.9385749385749386,0.9630655586334256,1
home > EARLY WINTER > ,0.6208530805687204,0.9629629629629628,1
남성의류 > 하의 > 데님 팬츠,0.5575221238938053,0.9629212493685024,1
Home > Pants > ,0.6428571428571428,0.9629131704603404,1
"1 . 컬리지(College) 컬렉션 > 2 . 고마운 마음, 특별한 선물로 > 3 . 지금 입기 딱 좋은 반팔 > 4 . 아이유 PICK 경량 바람막이 > 5 . 씨솔트 그레이 740 > ",0.5774647887323944,0.9627734522597444,1
Home > SHOP ALL > SHOP ALL > SWIMWEAR > ,0.1044776119402986,0.9625518656660526,1
패션의류>여성의류>코트,0.5454545454545455,0.9625,1
홈 > MEN > KNITWEAR > ,0.5451854775059195,0.96246351061874,2
캐릭터인형 > 포켓몬스터 > ,0.5833333333333333,0.9624175487037888,1
패션잡화>시계>패션시계>스톱워치,0.4594594594594594,0.9622926093514328,1
Home > ALL > New 5% > ,0.6875,0.9622470552703112,1
바지 슈트 팬츠/슬랙스 ,0.5238095238095238,0.9621928166351608,1
홈 > 만화 > 액션/무협 > ,0.5133862694118474,0.9618383377186194,2
패션잡화>지갑>여성지갑>반지갑,0.21748956030459335,0.9616860053203604,3
"가구,인테리어 > 스테이셔너리 > 캘린더",0.6595197255574614,0.9615843837423022,2
생활용품 > 생활잡화 > 기타생활잡화,0.5348837209302325,0.9615225733210452,1
정보 > 사이즈 > 리뷰 > 상품문의 > ,0.7771587743732591,0.9615147783251232,1
HOME > 국내도서 > 만화 > 명랑/코믹만화 > ,0.7718543220199451,0.9614665536927217,3
온라인 중고샵 > 중고음반 > 재즈 > 연주곡 > ,0.3333333333333332,0.961436769558186,1
식품>냉동/간편조리식품>떡볶이,0.8934624697336562,0.9612903225806452,1
HOME > 여성의류 > 원피스 > 트위드/모직 > ,0.6197718631178707,0.9611428358269272,1
패션잡화>지갑>카드/명함지갑,0.186335403726708,0.9610058418101782,3
티셔츠,0.5121951219512195,0.9609375,1
자동차용품 > 세차용품 > 세차타월/장갑,0.8031496062992126,0.9607843137254902,1
뷰티 > 메이크업 > 립메이크업 > 립케어,0.0256410256410256,0.9606568604678244,1
상의 > 맨투맨/스웨트,0.6006663345373022,0.9604545579767878,2
